build	problem	threads	repeat	mainloop_s	rss_kb	rc	iterations	phase	objValPrimal
upstream-6eaad8d	dE4	16	3	46.904306	390864	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	16	3	8.155680	415784	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	24	3	46.948229	391240	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	24	3	6.486639	415476	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE3	1	3	435.097612	686512	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	1	3	176.418439	686696	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	2	3	409.144159	686508	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	2	3	168.106709	686660	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	4	3	211.325843	686520	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	4	3	88.203345	686652	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	8	3	120.635903	686284	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	8	3	49.846527	686576	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	16	3	71.490901	686608	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	16	3	27.861380	686568	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	24	3	60.953184	686368	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	24	3	22.755527	686880	0	4	noINFO	2.0886785242906671e+07
